Period,Year,Quarter,Region,Category,Channel,Revenue,COGS,OpEx,Net Profit,Budget,Variance
Jan 2025,2025,Q1,"North America","Hardware","Enterprise Direct",67614,45879,15032,6703,66435,1179
Jan 2025,2025,Q1,"North America","Enterprise Software","Enterprise Direct",99292,28110,21195,49987,101999,-2707
Jan 2025,2025,Q1,"North America","Cloud Services","Enterprise Direct",124396,42454,28639,53303,114518,9878
Jan 2025,2025,Q1,"North America","Consumer Electronics","Enterprise Direct",53176,39012,10115,4049,53020,156
Jan 2025,2025,Q1,"North America","Accessories","Enterprise Direct",31933,14699,6990,10244,29789,2144
Jan 2025,2025,Q1,"North America","Hardware","Retail Stores",55407,35933,10794,8680,56447,-1040
Jan 2025,2025,Q1,"North America","Enterprise Software","Retail Stores",89201,21981,20252,46968,84154,5047
Jan 2025,2025,Q1,"North America","Cloud Services","Retail Stores",107483,38628,21366,47489,107593,-110
Jan 2025,2025,Q1,"North America","Consumer Electronics","Retail Stores",56908,39364,12542,5002,58669,-1761
Jan 2025,2025,Q1,"North America","Accessories","Retail Stores",27157,13592,6290,7275,26542,615
Jan 2025,2025,Q1,"North America","Hardware","Online / E-Commerce",65225,43406,13796,8023,62509,2716
Jan 2025,2025,Q1,"North America","Enterprise Software","Online / E-Commerce",94898,25497,19396,50005,88658,6240
Jan 2025,2025,Q1,"North America","Cloud Services","Online / E-Commerce",117746,38760,23001,55985,115401,2345
Jan 2025,2025,Q1,"North America","Consumer Electronics","Online / E-Commerce",50682,34825,10771,5086,48406,2276
Jan 2025,2025,Q1,"North America","Accessories","Online / E-Commerce",26634,13052,5411,8171,26169,465
Jan 2025,2025,Q1,"North America","Hardware","Partner Network",62669,39327,13377,9965,60879,1790
Jan 2025,2025,Q1,"North America","Enterprise Software","Partner Network",82139,22283,17191,42665,87665,-5526
Jan 2025,2025,Q1,"North America","Cloud Services","Partner Network",118945,39932,29169,49844,120790,-1845
Jan 2025,2025,Q1,"North America","Consumer Electronics","Partner Network",52030,39212,11749,1069,53795,-1765
Jan 2025,2025,Q1,"North America","Accessories","Partner Network",34212,17371,7962,8879,34711,-499
Jan 2025,2025,Q1,"Europe","Hardware","Enterprise Direct",52637,35107,11868,5662,54202,-1565
Jan 2025,2025,Q1,"Europe","Enterprise Software","Enterprise Direct",74955,21534,17326,36095,77766,-2811
Jan 2025,2025,Q1,"Europe","Cloud Services","Enterprise Direct",99260,36216,23233,39811,100942,-1682
Jan 2025,2025,Q1,"Europe","Consumer Electronics","Enterprise Direct",45601,33688,10322,1591,49159,-3558
Jan 2025,2025,Q1,"Europe","Accessories","Enterprise Direct",25548,12990,6368,6190,25471,77
Jan 2025,2025,Q1,"Europe","Hardware","Retail Stores",52775,36363,11551,4861,55180,-2405
Jan 2025,2025,Q1,"Europe","Enterprise Software","Retail Stores",80783,22498,19153,39132,84085,-3302
Jan 2025,2025,Q1,"Europe","Cloud Services","Retail Stores",96074,35815,22609,37650,95925,149
Jan 2025,2025,Q1,"Europe","Consumer Electronics","Retail Stores",46884,34715,10287,1882,43800,3084
Jan 2025,2025,Q1,"Europe","Accessories","Retail Stores",25699,12830,5020,7849,25944,-245
Jan 2025,2025,Q1,"Europe","Hardware","Online / E-Commerce",51001,31473,11402,8126,47797,3204
Jan 2025,2025,Q1,"Europe","Enterprise Software","Online / E-Commerce",61780,17593,12136,32051,65628,-3848
Jan 2025,2025,Q1,"Europe","Cloud Services","Online / E-Commerce",98342,31331,23932,43079,94802,3540
Jan 2025,2025,Q1,"Europe","Consumer Electronics","Online / E-Commerce",38105,28622,7869,1614,40050,-1945
Jan 2025,2025,Q1,"Europe","Accessories","Online / E-Commerce",26658,12849,6375,7434,25203,1455
Jan 2025,2025,Q1,"Europe","Hardware","Partner Network",47698,32221,9517,5960,46587,1111
Jan 2025,2025,Q1,"Europe","Enterprise Software","Partner Network",77218,19514,16314,41390,74612,2606
Jan 2025,2025,Q1,"Europe","Cloud Services","Partner Network",86730,29346,17983,39401,91617,-4887
Jan 2025,2025,Q1,"Europe","Consumer Electronics","Partner Network",41308,29045,9961,2302,41768,-460
Jan 2025,2025,Q1,"Europe","Accessories","Partner Network",22359,11809,5012,5538,23754,-1395
Jan 2025,2025,Q1,"Asia-Pacific","Hardware","Enterprise Direct",41130,26963,10011,4156,38828,2302
Jan 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Enterprise Direct",52323,16282,10413,25628,55706,-3383
Jan 2025,2025,Q1,"Asia-Pacific","Cloud Services","Enterprise Direct",78486,25274,19170,34042,83370,-4884
Jan 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Enterprise Direct",28117,21153,6842,122,27685,432
Jan 2025,2025,Q1,"Asia-Pacific","Accessories","Enterprise Direct",19464,10338,4170,4956,19912,-448
Jan 2025,2025,Q1,"Asia-Pacific","Hardware","Retail Stores",41541,26683,9498,5360,39074,2467
Jan 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Retail Stores",49778,14511,9843,25424,50123,-345
Jan 2025,2025,Q1,"Asia-Pacific","Cloud Services","Retail Stores",73302,23479,16317,33506,75938,-2636
Jan 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Retail Stores",27916,20196,6518,1202,28978,-1062
Jan 2025,2025,Q1,"Asia-Pacific","Accessories","Retail Stores",17586,9109,4120,4357,18941,-1355
Jan 2025,2025,Q1,"Asia-Pacific","Hardware","Online / E-Commerce",39708,26566,9883,3259,42202,-2494
Jan 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Online / E-Commerce",54910,17490,13373,24047,58850,-3940
Jan 2025,2025,Q1,"Asia-Pacific","Cloud Services","Online / E-Commerce",80417,30671,19855,29891,79322,1095
Jan 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Online / E-Commerce",35112,26540,7545,1027,35888,-776
Jan 2025,2025,Q1,"Asia-Pacific","Accessories","Online / E-Commerce",19695,9713,4496,5486,20403,-708
Jan 2025,2025,Q1,"Asia-Pacific","Hardware","Partner Network",36250,23963,8464,3823,33662,2588
Jan 2025,2025,Q1,"Asia-Pacific","Enterprise Software","Partner Network",53377,15905,10314,27158,53850,-473
Jan 2025,2025,Q1,"Asia-Pacific","Cloud Services","Partner Network",75005,23575,16750,34680,74753,252
Jan 2025,2025,Q1,"Asia-Pacific","Consumer Electronics","Partner Network",27209,19711,5952,1546,25649,1560
Jan 2025,2025,Q1,"Asia-Pacific","Accessories","Partner Network",17648,8794,3503,5351,18175,-527
Jan 2025,2025,Q1,"Latin America","Hardware","Enterprise Direct",36965,22968,8546,5451,37554,-589
Jan 2025,2025,Q1,"Latin America","Enterprise Software","Enterprise Direct",45744,13491,10337,21916,46645,-901
Jan 2025,2025,Q1,"Latin America","Cloud Services","Enterprise Direct",74200,26561,16872,30767,72160,2040
Jan 2025,2025,Q1,"Latin America","Consumer Electronics","Enterprise Direct",32352,23612,6784,1956,34362,-2010
Jan 2025,2025,Q1,"Latin America","Accessories","Enterprise Direct",18001,8753,4380,4868,17788,213
Jan 2025,2025,Q1,"Latin America","Hardware","Retail Stores",35283,24030,7605,3648,32746,2537
Jan 2025,2025,Q1,"Latin America","Enterprise Software","Retail Stores",57225,15684,11046,30495,60497,-3272
Jan 2025,2025,Q1,"Latin America","Cloud Services","Retail Stores",68705,21577,16588,30540,73909,-5204
Jan 2025,2025,Q1,"Latin America","Consumer Electronics","Retail Stores",27178,20345,6751,82,28992,-1814
Jan 2025,2025,Q1,"Latin America","Accessories","Retail Stores",19221,10338,4710,4173,20730,-1509
Jan 2025,2025,Q1,"Latin America","Hardware","Online / E-Commerce",42483,29032,10597,2854,42117,366
Jan 2025,2025,Q1,"Latin America","Enterprise Software","Online / E-Commerce",57668,18410,12501,26757,62032,-4364
Jan 2025,2025,Q1,"Latin America","Cloud Services","Online / E-Commerce",80607,27865,20021,32721,85890,-5283
Jan 2025,2025,Q1,"Latin America","Consumer Electronics","Online / E-Commerce",30906,23422,7559,-75,33200,-2294
Jan 2025,2025,Q1,"Latin America","Accessories","Online / E-Commerce",19823,10561,4913,4349,20564,-741
Jan 2025,2025,Q1,"Latin America","Hardware","Partner Network",41772,28702,9775,3295,38820,2952
Jan 2025,2025,Q1,"Latin America","Enterprise Software","Partner Network",58385,17438,11297,29650,60871,-2486
Jan 2025,2025,Q1,"Latin America","Cloud Services","Partner Network",75189,23659,17742,33788,72771,2418
Jan 2025,2025,Q1,"Latin America","Consumer Electronics","Partner Network",27251,20201,5667,1383,27180,71
Jan 2025,2025,Q1,"Latin America","Accessories","Partner Network",18746,9072,4106,5568,18074,672
Jan 2025,2025,Q1,"Middle East & Africa","Hardware","Enterprise Direct",34957,22676,7220,5061,33895,1062
Jan 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Enterprise Direct",51003,13366,10639,26998,47407,3596
Jan 2025,2025,Q1,"Middle East & Africa","Cloud Services","Enterprise Direct",65542,21944,12686,30912,66338,-796
Jan 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Enterprise Direct",29623,20284,6652,2687,31381,-1758
Jan 2025,2025,Q1,"Middle East & Africa","Accessories","Enterprise Direct",15065,7624,3650,3791,15924,-859
Jan 2025,2025,Q1,"Middle East & Africa","Hardware","Retail Stores",38047,25860,9184,3003,35178,2869
Jan 2025,2025,Q1,"Middle East & Africa","Enterprise Software","Retail Stores",56958,17572,10920,28466,55707,1251
Jan 2025,2025,Q1,"Middle East & Africa","Cloud Services","Retail Stores",77781,24290,16471,37020,82724,-4943
Jan 2025,2025,Q1,"Middle East & Africa","Consumer Electronics","Retail Stores",26971,19123,6576,1272,28663,-1692
